Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Length,Sequence Number,Acknowledgment Number,Flags,Window Size,Checksum,Payload (Hex),Truncated
2024-09-07T13:50:47.760Z,172.20.165.17,54110,20.42.73.28,443,TCP,89,399848955,1343750656,18,512,6ae5,68e59e61f51fe00af690bdbb08004500004b92d240008006b96eac14a511...,No
2024-09-07T13:50:47.762Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215456216,1343226496,10,640,2fb4,e00af690bdbb68e59e61f51f08004500002861ff00003f066b65142a491c...,No
2024-09-07T13:50:47.863Z,20.42.65.85,443,172.20.165.17,52040,TCP,149,376999264,1343750784,18,640,be70,e00af690bdbb68e59e61f51f080045000087effd00003f06e4ce142a4155...,No
2024-09-07T13:50:47.865Z,172.20.165.17,52040,20.42.65.85,443,TCP,89,479565154,1343750656,18,512,ff0b,68e59e61f51fe00af690bdbb08004500004b11364000800642d2ac14a511...,No
2024-09-07T13:50:47.866Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376999299,1343226496,10,640,e3b8,e00af690bdbb68e59e61f51f080045000028f00000003f06e52a142a4155...,No
2024-09-07T13:50:47.871Z,162.159.135.234,443,172.20.165.17,61130,TCP,96,37496745,1343750160,18,16,f275,e00af690bdbb68e59e61f51f08004500005253dc00003f06ac1aa29f87ea...,No
2024-09-07T13:50:47.875Z,172.20.165.17,52040,20.42.65.85,443,TCP,134,479565154,1343750656,18,512,dfa1,68e59e61f51fe00af690bdbb08004500007811374000800642a4ac14a511...,No
2024-09-07T13:50:47.876Z,172.20.165.17,52040,20.42.65.85,443,TCP,931,479565154,1343750656,18,512,2e58,68e59e61f51fe00af690bdbb0800450003951138400080063f86ac14a511...,No
2024-09-07T13:50:47.877Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376999379,1343226496,10,640,e368,e00af690bdbb68e59e61f51f080045000028f00500003f06e525142a4155...,No
2024-09-07T13:50:47.878Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,377000256,1343226493,10,637,dffe,e00af690bdbbb01f8c2cc030080045000028f00600003f06e524142a4155...,No
2024-09-07T13:50:47.919Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198940,1343226368,10,512,ecf3,68e59e61f51fe00af690bdbb0800450000285b374000800623e9ac14a511...,No
2024-09-07T13:50:48.439Z,20.42.65.85,443,172.20.165.17,52040,TCP,154,377000256,1343750784,18,640,4ff7,e00af690bdbb68e59e61f51f08004500008cf0ec00003f06e3da142a4155...,No
2024-09-07T13:50:48.469Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479565254,1343226367,10,511,e018,68e59e61f51fe00af690bdbb08004500002811394000800642f2ac14a511...,No
2024-09-07T13:50:48.480Z,172.20.165.17,52040,20.42.65.85,443,TCP,139,479565254,1343750655,18,511,3600,68e59e61f51fe00af690bdbb08004500007d113a40008006429cac14a511...,No
2024-09-07T13:50:48.481Z,172.20.165.17,52040,20.42.65.85,443,TCP,930,479565254,1343750655,18,511,7825,68e59e61f51fe00af690bdbb080045000394113b400080063f84ac14a511...,No
2024-09-07T13:50:48.483Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,377001217,1343226493,10,637,dbd9,e00af690bdbbb01f8c2cc030080045000028f11e00003f06e40c142a4155...,No
2024-09-07T13:50:48.482Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,377000341,1343226496,10,640,df42,e00af690bdbb68e59e61f51f080045000028f11d00003f06e40d142a4155...,No
2024-09-07T13:50:48.713Z,20.42.65.85,443,172.20.165.17,52040,TCP,86,377001217,1343750784,18,640,5ff7,e00af690bdbb68e59e61f51f080045000048f18900003f06e381142a4155...,No
2024-09-07T13:50:48.754Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479565286,1343226367,10,511,dc37,68e59e61f51fe00af690bdbb080045000028113c4000800642efac14a511...,No
2024-09-07T13:50:48.932Z,20.42.65.85,443,172.20.165.17,52040,TCP,154,377001217,1343750784,18,640,ca62,e00af690bdbb68e59e61f51f08004500008cf1e900003f06e2dd142a4155...,No
2024-09-07T13:50:48.972Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479565386,1343226367,10,511,dbd3,68e59e61f51fe00af690bdbb080045000028113d4000800642eeac14a511...,No
2024-09-07T13:50:49.128Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848955,1343226368,10,512,c569,68e59e61f51fe00af690bdbb08004500058e92d440008006b429ac14a511...,No
2024-09-07T13:50:49.130Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848955,1343226368,10,512,abbd,68e59e61f51fe00af690bdbb08004500058e92d640008006b427ac14a511...,No
